Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,n_features,mean_acc_mean,mean_acc_max,mean_acc_std,mean_gps_mean,mean_gps_max,mean_gps_std,mean_acc_class_0_mean,mean_acc_class_0_max,mean_acc_class_0_std,mean_acc_class_1_mean,mean_acc_class_1_max,mean_acc_class_1_std
ArtificialDataset22,all,0.281,0.33320000000000005,0.48934199999999994,0.6672857142857143,0.44664591700780926,0.29186791558533043,0.497317644555183,0.9950287763879314,0.99386,1.0839532842268353,950.0,0.624625,0.713,0.04759933222820914,0.571218239582751,0.6789779799070856,0.07211520929570811,0.45159191583610186,0.5593576965669989,0.12304376610544719,0.7534407138535996,0.9195704779189354,0.12335486840138148
ArtificialDataset22,informative,0.197,0.30760000000000004,0.48934199999999994,0.5769411764705883,0.40959716749638564,0.2721335874661003,0.49659607443246706,0.9945166289109951,0.9938020000000001,0.8206087814687455,500.0,0.653875,0.806,0.08075082927482188,0.6112154064055246,0.7940989239846994,0.10516833853693129,0.49867109634551493,0.6957364341085271,0.1393245697322563,0.7693889897156685,0.902238354506957,0.11822168763079687
ArtificialDataset22,informative+redundant,0.263,0.317,0.48934199999999994,0.6880769230769231,0.42839104476789613,0.2863483924915813,0.4967288921771166,0.9947335434518534,0.9938076923076924,0.6236759202352632,650.0,0.6355000000000001,0.7350000000000001,0.060019044596575456,0.5884242981920685,0.7073433098961617,0.07983742148146084,0.464015780730897,0.5529900332225914,0.11275560698435194,0.76332425892317,0.9127041742286751,0.11954523212116405
ArtificialDataset22,informative+redundant_nonLinear,0.275,0.3236,0.48934199999999994,0.6095,0.44499126070276895,0.2759380813936499,0.4965884505442557,0.9947770363439378,0.9938492307692307,0.9655861952838045,650.0,0.628375,0.7030000000000001,0.0511299115698713,0.5820119322387927,0.6684251956045965,0.06435996711963,0.4610880398671096,0.5736987818383167,0.10492277164063166,0.7529643073200242,0.9091651542649728,0.11447835422604223
ArtificialDataset22,informative+noise,0.241,0.32280000000000003,0.48934199999999994,0.6777692307692307,0.40524287049988944,0.2919588009771446,0.4973492956667927,0.9951069552513214,0.9938338461538463,0.6386204224386377,650.0,0.638875,0.7809999999999999,0.06964283882783638,0.5834179790777606,0.7646508179813492,0.11068958692843427,0.4714078073089701,0.6555370985603544,0.15639767344774275,0.7634792800967938,0.92664851784634,0.12527552939945505
ArtificialDataset22,informative+rand_extra,0.205,0.308,0.48934199999999994,0.612625,0.40972433023382426,0.28008634067694177,0.49665886138398807,0.9945468498637513,0.9938031809145129,0.8214046817255007,503.0,0.652375,0.8019999999999999,0.08133868786043419,0.6084724365120414,0.7890530774779025,0.1094013523118161,0.4943175526024363,0.6863787375415283,0.14416676482374408,0.7700355414398063,0.902238354506957,0.11842261269082985
ArtificialDataset22,mutual_info_top500,0.309,0.35980000000000006,0.48934199999999994,0.6715714285714287,0.44229623471497886,0.32154211981187875,0.49737988540073363,0.9958649660198956,0.9938859999999999,0.8885436647607521,500.0,0.61,0.6759999999999999,0.05481397110747795,0.5614081755554858,0.6354016473128632,0.061103067730235605,0.44366694352159464,0.5760243632336655,0.10719283037356542,0.7339647610405324,0.8950393224440413,0.1274774469366594
ArtificialDataset22,f_classif_top500,0.288,0.34280000000000005,0.48934199999999994,0.49525,0.39333815610360084,0.3072055298889277,0.49710268847333877,0.9954884024426278,0.9938919999999999,1.0751578945716593,500.0,0.65125,0.72,0.058818728795706376,0.6142439468649661,0.6880419973209919,0.07806079065903918,0.5116209856035437,0.6320598006644519,0.1245921825797077,0.7551194797338173,0.8951603145795521,0.10370224438569858
ArtificialDataset22,rf_top500,0.333,0.3414,0.48934199999999994,0.6472857142857142,0.4091370567308566,0.27557796916991967,0.49697434628056125,0.9947561640237697,0.99394,0.993239059611696,500.0,0.628375,0.69,0.05372931495668153,0.5822387282434741,0.6524297344886366,0.06257079720724278,0.4636627906976744,0.6157253599114064,0.11273878732229978,0.7511494252873563,0.895220810647308,0.12260039930240559
ArtificialDataset22,relief_top500,0.326,0.32720000000000005,0.48934199999999994,0.6970769230769231,0.4122965118315865,0.326336741581062,0.4958413909764139,0.9906769920220625,0.99398,0.9064723243351542,500.0,0.6305000000000001,0.7080000000000001,0.04841782434481866,0.5759696286670613,0.672562570296144,0.06793337980715972,0.44662929125138423,0.5642857142857143,0.12426480903955674,0.7674153055051421,0.9545674531155474,0.11820902863085783
ArtificialDataset22,xgb_top500,0.27,0.34820000000000007,0.48934199999999994,0.5934285714285714,0.419317532286879,0.2911677406493273,0.4969889724024092,0.9950984273942021,0.993968,0.9356892166820036,500.0,0.633875,0.689,0.047750654445777,0.5862998532500554,0.6389677141295955,0.06384184386436281,0.46724806201550384,0.6018272425249169,0.11796965628931809,0.7579779189352691,0.9005142165759226,0.1218290718393625
